"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"Benefits of hands washing___b-32353639_8C06ABDB___LB-2_rgpwa8k04a_5z","","LB-2_rgpwa8k04a_7s","","en","","1","327","","","","","","","","","","","","General Health","l","UWR"
"Animals Housing","","LB-2_rgpwa8k04a_7t","MOFA-Jirapa","dga","","7","1138","Interview","Farmers","","","","Madam Grace-Mofa Jirapa","","","","","","General Livestock","l","UWR"
"Early marriage affects child's education","B-00030000","B-00030000_A1108110","GES-Jirapa","dga","","6","1319","Interview","All","2117/12/04"," undergae marriage, effects, teenage pregnancy","2015-6:0016","HH Rotation 0:Day --0","To raise awareness about girl'schild education and how ealy marriage take that right away ","","","","","General Feedback","l","UWR"
"Seeds acquisition, improved varieties and germination test","B-00030000","B-00030000_993D7AE2","MOFA-Jirapa","dga","","6","1027","Interview","Farmers","2028/02/15","Obatampa, kapaala, varieties, yellow corn","2015-6:0022","HH Rotation 0:Day _29","To increase the number of farmers who use high yielding improved droughout resistant and short maturing varieties of beans, maize, millet and guinea corn and practice germination test if using their own seeds","","","","","General Feedback","l","UWR"
"Crop rotation and mix cropping","B-00030000","B-00030000_D552F290","MOFA-Jirapa","dga","","7","1073","Interview","Farmers","2028/02/15","mix cropping, rotation, continuesly","2015-6:0022","HH Rotation 0:Day _29","To create awareness on how to manage soil fertility and reduce soil born diseases and some soil dwelling insects like corn rootworm through crop rotation and mix cropping","","","","","General Feedback","l","UWR"
"Vaccination, deworming and immunization of livestock","B-00030000","B-00030000_5283DEEF","MOFA-Jirapa","dga","","7","1332","Interview","Farmers","2028/02/15","pigs, vaccinate, immunize, animals","2015-6:0022","HH Rotation 0:Day _29","To encourgae farmers to vaccinate, deworm and immunize their livestock","","","","","General Feedback","l","UWR"
"Land preparation and sowing techniques 2","B-00030000","B-00030000_6109BE9A","Soap Opera Drama Group","dga","","7","99","Drama","Farmers","2028/02/16","ridges, mounds, sowing, lines","2015-6:0024","HH Rotation 0:Day _30","To increase the number of farmers who prepare ridges across the slope and practice contour ploughing and to increase the number of farmers who use recommended methods of sowing maize, beans, millet, groundnuts and guinae corn","","","","","General Feedback","l","UWR"
"Land preparation 3","B-00030000","B-00030000_E0391F88","Baazu-Jirapa","dga","","2","285","","","2028/02/16","","2015-6:0024","HH Rotation 0:Day _30","","","","","","General Feedback","l","UWR"
"Proper application and uses of fertilizer","B-00030000","B-00030000_E2C847D3","Soap Opera Drama Group","dga","","6","343","Drama","Farmers","2028/02/16","sulphate of ammonia, NPK, rain, children","2015-6:0024","HH Rotation 0:Day _30","To increase the number of farmers who apply fertilizer seperately, know the different types of fertilizers and their functions and when to apply each type of fertilizer","","","","","General Feedback","l","UWR"
"Reducing chances of getting malaria","B-00030000","B-00030000_3904BD78","Women singing group","dga","","6","392","Song","All","2028/02/19","LLIN net, malaria, mosquito bites","2015-6:0030","HH Rotation 0:Day _33","To promote the use of LLIN to prevent malaria","","","","","General Feedback","l","UWR"
"Hand washing with soap and running water","B-00030000","B-00030000_B60BCEDD","Soap Opera Drama Group","dga","","6","460","Drama","All","2028/02/19","wash, running water, bicycle ","2015-6:0029","HH Rotation 0:Day _33","To explain how to correctly wash your hands with soap and running to remove bacteria and germs","","","","","General Feedback","l","UWR"
"Give ORS and Zinc tablet to children with diarrhea","B-00030000","B-00030000_587A627C","Women Singing Group","dga","","9","582","Song","Parents","2028/02/19","ORS, parents, diarrhea, zinc","2015-6:0030","HH Rotation 0:Day _33","To promote the use of ORS and how to prepare it if it is not readily available","","","","0","General Feedback","l","UWR"
"Livestock management during the rainy season","B-00030000","B-00030000_E60E7F59","MOFA-Jirapa","dga","","6","1061","Interview","Farmers","2117/11/18","rainy season, ethering, water, hosuing","2015-6:0033","HH Rotation 0:Day -,*","To promote livestock management during the rainy season","","","","","General Feedback","l","UWR"
"Knowing your farm size","B-00030000","B-00030000_CF5A2C49","MOFA-Jirapa","dga","","7","981","Interview","Farmers","2117/11/18","measurement, size, hectors","2015-6:0033","HH Rotation 0:Day -,*","To increase the number of farmers who know the size of their farm land","","","","","General Feedback","l","UWR"
"Summary: proper application of fertilizer","B-00030000","B-00030000_530953F7","Baazu-Jirapa","dga","","2","270","Lecture","","2117/11/24","","2015-6:0035","HH Rotation 0:Day -,0","","","","","","General Feedback","l","UWR"
"Proper Fertilizer Application ","B-00030000","B-00030000_6B5FDB2F","Baazu-Jirapa","dga","","4","685","Drama","","2117/11/24","","2015-6:0035","HH Rotation 0:Day -,0","","","","","","General Feedback","l","UWR"
"Land preparation and sowing techniques 1","B-00030000","B-00030000_97955EA2","Baazu-Jirapa","dga","","2","571","Drama","","2117/11/24","","2015-6:0035","HH Rotation 0:Day -,0","","","","","","General Feedback","l","UWR"
"Summary: Land preparation and sowing techniques","B-00030000","B-00030000_D3C6828B","Baazu-Jirapa","dga","","4","221","Lecture","All","2117/11/24","","2015-6:0035","HH Rotation 0:Day -,0","","","","","","General Feedback","l","UWR"
"May/June health, agric and livestock new messages","B-00030000","B-00030000_D66891DD","Baazu-Jirapa","dga","","1","6","","","2117/11/23","","2015-6:0035","HH Rotation 0:Day -,/","","","","","","General Feedback","l","UWR"
"New agric messages for May/June 2015","B-00030000","B-00030000_FB763055","LBG-Fidelis","dga","","6","205","Lecture","Farmers","2117/11/23","land, seed acquisition, weeding, germination","2015-6:0035","HH Rotation 0:Day -,/","To raise awareness that the Talking Book has been updated with new messages and that each household will continue to receive new messages anytime the Talking Book leaves and comes back to their home","","","","","General Feedback","l","UWR"
"Summary: Seed aquisition and germination test","B-00030000","B-00030000_4FB9B7DF","Baazu-Jirapa","dga","","3","231","Lecture","","2117/11/23","","2015-6:0035","HH Rotation 0:Day -,/","","","","","","General Feedback","l","UWR"
"Summary: Crop rotation and mixe cropping","B-00030000","B-00030000_D0FDF9DA","Baazu-Jirapa","dga","","1","149","","","2117/11/23","","2015-6:0035","HH Rotation 0:Day -,/","","","","","","General Feedback","l","UWR"
"Spraying, weeding and weedicides use #1","B-00030000","B-00030000_6DA43297","MOFS-Jirapa","dga","","6","1331","Interview","Farmers","2117/11/23","herbicides, germination test, weeds, spaying","2015-6:0035","HH Rotation 0:Day -,/","","","","","","General Feedback","l","UWR"
"New health messages for May/June Rotation 2015","B-00030002","B-00030002_D402834F","LBG-Fidelis","dga","","6","145","Lecture","All","2015/03/04","ors, zinc tablets, health facility, ANC visits","2015-6:0004","HH Rotation 0:Day 001","To raise awarenesss that the Talking Book has been updated with new messages and that each household will continue to receive new messages any time the Talking Book leaves and comes back to their home","","","","","General Feedback","l","UWR"
"Summary: ORS/Zinc tablets","B-00030002","B-00030002_302E9171","Die-Jirapa","dga","","1","225","","","2015/03/04","","2015-6:0004","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Delivery with a skilled attendant and ACN #1","B-00030002","B-00030002_8601E3A2","Soap Opera Drama Group","dga","","7","811","Drama","Pregnant women","2015/03/04","antenatal, transportation, CHPS, Immunization","2015-6:0005","HH Rotation 0:Day 001","To encourage mothers to deliver at a healthcare facility with a skilled birth attendant and have all 4 checkup visits during pregnancy that are covered by NHIS","","","","","General Feedback","l","UWR"
"Summary: delivery with skilled attendant","B-00030002","B-00030002_DD4B1280","Die-Jirapa","dga","","1","145","","","2015/03/04","","2015-6:0005","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: handwashing","B-00030002","B-00030002_C2783C0E","Die-Jirapa","dga","","1","150","","","2015/03/04","","2015-6:0005","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: child marriage","B-00030002","B-00030002_CDD22ECD","Die-Jirapa","dga","","1","174","","","2015/03/04","","2015-6:0005","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: reducing chances of getting Malaria","B-00030002","B-00030002_552885A8","Die-Jirapa","dga","","2","207","","","2015/03/04","","2015-6:0005","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"spraying, weeding and weedicides use #2","B-00030006","B-00030006_0C05ED1A","Doggoh-Jirapa","dga","","2","107","","","2015/04/10","","2015-6:0006","HH Rotation 0:Day 038","","","","","","General Feedback","l","UWR"
"Spraying, weeding and weedicide use #3","B-00030006","B-00030006_A6063769","Doggoh-Jirapa","dga","","1","665","","","2015/04/11","","2015-6:0007","HH Rotation 0:Day 039","","","","","","General Feedback","l","UWR"
"Routine immunization","B-00030006","B-00030006_F618A935","GHS-Jirapa","dga","","6","763","Interview","Mothers","2015/04/09","measles, vaccines, polio, safe","2015-6:0005","HH Rotation 0:Day 037","To raise awareness about completing vaccinations within the first year of birth according to the schedule given by your community health nurse","","","","","General Feedback","l","UWR"
"Awareness on CSM","B-00030006","B-00030006_79F01B6E","GHS-Jirapa","dga","","6","1136","Interview","All","2015/04/10","Meningitis, stiff neck, spinal cord, severe","2015-6:0005","HH Rotation 0:Day 038","To encourage early medical treatment for people with CSM signs and symptoms","","","","","General Feedback","l","UWR"
"Summary: Spraying, weeding and weedicide use","B-00030006","B-00030006_66A44F73","Doggoh-Jirapa","dga","","2","316","Lecture","","2015/04/11","","2015-6:0008","HH Rotation 0:Day 039","","","","","","General Feedback","l","UWR"
"Summary: routine immunization","B-00030006","B-00030006_9F01D5C9","Doggoh-Jirapa","dga","","1","118","","","2015/04/11","","2015-6:0009","HH Rotation 0:Day 039","","","","","","General Feedback","l","UWR"
"Summary: Awareness on CSM","B-00030006","B-00030006_A324CEB1","Doggoh-Jirapa","dga","","1","168","","","2015/04/11","","2015-6:0009","HH Rotation 0:Day 039","","","","","","General Feedback","l","UWR"
"Delivery with skilled attendant #2","B-00030000","B-00030000_2500F530","Baazu-Jirapa","dga","","2","567","","","2028/02/16","","2015-6:0025","HH Rotation 0:Day _30","","","","","","General Feedback","l","UWR"
"Summary: Livestock management during the raining season","B-00030006","B-00030006_003615B4","Doggoh-Jirapa","dga","","1","130","","","2015/04/09","","2015-6:0003","HH Rotation 0:Day 037","","","","","","General Feedback","l","UWR"
"Summary: Vaccination, deworming and immunization of livestock","B-00030006","B-00030006_415CA83D","Doggoh-Jirapa","dga","","2","75","Lecture","","2015/04/09","","2015-6:0003","HH Rotation 0:Day 037","","","","","","General Feedback","l","UWR"
"Summary: Knowing your farm size","B-00030006","B-00030006_97071A76","Doggoh-Jirapa","dga","","1","121","","","2015/04/09","","2015-6:0004","HH Rotation 0:Day 037","","","","","","General Feedback","l","UWR"
"Transplanting","B-00030004","B-00030004_0E0217F5","Doggoh-Jirapa","dga","","4","735","Interview","","2015/05/09","","2015-6:0003","HH Rotation 0:Day 067","","","","","","General Feedback","l","UWR"
"B-00030004_0003_0003_C9E7845E","B-00030004","B-00030004_C9E7845E","Doggoh-Jirapa","dga","","0","12","","","2015/05/09","","2015-6:0003","HH Rotation 0:Day 067","","","","","","General Feedback","l","UWR"
"Healthy eggs","B-00030004","B-00030004_17EE54D5","Doggoh-Jirapa","dga","","2","795","Interview","","2015/05/09","","2015-6:0003","HH Rotation 0:Day 067","","","","","","General Feedback","l","UWR"
"Caring for livestock in rainy season","B-00030004","B-00030004_EFC951D5","Doggoh-Jirapa","dga","","2","1044","Interview","","2015/05/09","","2015-6:0003","HH Rotation 0:Day 067","","","","","","General Feedback","l","UWR"
"Groundnuts cultivation #1","B-00030004","B-00030004_B10207A8","Doggoh-Jirapa","dga","","2","1067","","","2015/05/09","","2015-6:0004","HH Rotation 0:Day 067","","","","","","General Feedback","l","UWR"
"B-00030004_0007_0001_B205AEFF","B-00030004","B-00030004_B205AEFF","Doggoh-Jirapa","dga","","0","9","","","2015/05/26","","2015-6:0007","HH Rotation 0:Day 084","","","","","","General Feedback","l","UWR"
"June/July messages","B-00030004","B-00030004_5D12212A","Doggoh-Jirapa","dga","","2","10","Lecture","","2015/05/26","","2015-6:0007","HH Rotation 0:Day 084","","","","","","General Feedback","l","UWR"
"New agriculture messages","B-00030004","B-00030004_211EF90A","Doggoh-Jirapa","dga","","2","228","Lecture","","2015/05/26","","2015-6:0007","HH Rotation 0:Day 084","","","","","","General Feedback","l","UWR"
"B-00030004_0007_0004_8267E239","B-00030004","B-00030004_8267E239","Doggoh-Jirapa","dga","","0","181","","","2015/05/26","","2015-6:0007","HH Rotation 0:Day 084","","","","","","General Feedback","l","UWR"
"B-00030004_0009_0001_594D30DC","B-00030004","B-00030004_594D30DC","Doggoh-Jirapa","dga","","0","13","","","2036/06/18","","2015-6:0009","HH Rotation 0:Day }72","","","","","","General Feedback","l","UWR"
"Second beans cultivation","B-00030004","B-00030004_348CA9FF","Doggoh-Jirapa","dga","","1","305","","","2036/06/18","","2015-6:0009","HH Rotation 0:Day }72","","","","","","General Feedback","l","UWR"
"Summary :vaccination","B-00030004","B-00030004_3EEBF85B","Doggoh-Jirapa","dga","","1","221","","","2036/06/18","","2015-6:0009","HH Rotation 0:Day }72","","","","","","General Feedback","l","UWR"
"B-00030004_0009_0005_D1717BE5","B-00030004","B-00030004_D1717BE5","Doggoh-Jirapa","dga","","0","308","","","2036/06/18","","2015-6:0009","HH Rotation 0:Day }72","","","","","","General Feedback","l","UWR"
"Summary: Groundnuts cultivation","B-00030004","B-00030004_35C8ADC0","Doggoh-Jirapa","dga","","1","329","","","2036/06/18","","2015-6:0009","HH Rotation 0:Day }72","","","","","","General Feedback","l","UWR"
"Child education #2","B-00030004","B-00030004_8509C8B4","Doggoh-Jirapa","dga","","1","377","","","2036/06/20","","2015-6:0010","HH Rotation 0:Day }74","","","","","","General Feedback","l","UWR"
"B-00030004_0010_0003_7793D60E","B-00030004","B-00030004_7793D60E","Doggoh-Jirapa","dga","","0","12","","","2036/06/20","","2015-6:0010","HH Rotation 0:Day }74","","","","","","General Feedback","l","UWR"
"Key points: Exclusive breastfeeding","B-00030004","B-00030004_E501EFF5","Doggoh-Jirapa","dga","","2","622","Drama","","2036/06/20","","2015-6:0011","HH Rotation 0:Day }74","","","","","","General Feedback","l","UWR"
"B-00030004_0011_0002_0DBD97B8","B-00030004","B-00030004_0DBD97B8","Doggoh-Jirapa","dga","","0","540","","","2036/06/20","","2015-6:0011","HH Rotation 0:Day }74","","","","","","General Feedback","l","UWR"
"B-00030004_0011_0003_5D570AFC","B-00030004","B-00030004_5D570AFC","Doggoh-Jirapa","dga","","0","25","","","2036/06/20","","2015-6:0011","HH Rotation 0:Day }74","","","","","","General Feedback","l","UWR"
"new health messages","B-00030004","B-00030004_2D04E049","Doggoh-Jirapa","dga","","2","186","Lecture","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"LLIN/Malaria intro","B-00030004","B-00030004_7C5577B0","Doggoh-Jirapa","dga","","1","140","","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"Summ: Malaria","B-00030004","B-00030004_5F9B4480","Doggoh-Jirapa","dga","","1","380","","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"Introduction: exclusive breast feeding","B-00030004","B-00030004_6F22E16B","Doggoh-Jirapa","dga","","3","1043","","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"Summary: Exclusive breastfeeding","B-00030004","B-00030004_695E69A1","Doggoh-Jirapa","dga","","1","222","","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"Child education #1","B-00030004","B-00030004_E1E04FB1","Doggoh-Jirapa","dga","","3","774","Drama","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"B-00030004_0017_0008_BE422159","B-00030004","B-00030004_BE422159","Doggoh-Jirapa","dga","","0","211","","","2036/06/22","","2015-6:0017","HH Rotation 1:Day f63","","","","","","General Feedback","l","UWR"
"Summary: Post harvest","B-00030004","B-00030004_3602F83C","Doggoh-Jirapa","dga","","1","0","","","2036/06/24","","2015-6:0024","HH Rotation 1:Day f65","","","","","","General Feedback","l","UWR"
"Diarrhea management with ORS/Zinc tablets","B-00030004","B-00030004_4A0DA19C","Singing group","dga","","3","471","Song","","2036/06/24","","2015-6:0024","HH Rotation 1:Day f65","","","","","","General Feedback","l","UWR"
"Kindergarten education","B-00030004","B-00030004_6007E376","Doggoh-Jirapa","dga","","2","772","Interview","","2036/06/24","","2015-6:0025","HH Rotation 1:Day f65","","","","","","General Feedback","l","UWR"
"Summary: Diarrhea with ORS","B-00030004","B-00030004_482573B0","Doggoh-Jirapa","dga","","3","315","Lecture","","2036/06/25","","2015-6:0027","HH Rotation 1:Day f66","","","","","","General Feedback","l","UWR"
"Summary: Transplanting","B-00070201","B-00070201_2D358E6A","NON-SPECIFIC","dga","","2","181","Lecture","","2015/03/24","","2015-6:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Promoting healthy eggs","B-00070201","B-00070201_7C724BBF","NON-SPECIFIC","dga","","2","201","Lecture","","2015/03/24","","2015-6:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Caring for livestock","B-00070201","B-00070201_0BC7B292","NON-SPECIFIC","dga","","2","248","Lecture","","2015/03/24","","2015-6:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Introduction: Malaria","B-00070201","B-00070201_F90639BA","NON-SPECIFIC","dga","","2","1035","Drama","","2015/03/24","","2015-6:0002","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Hand washing","B-00070201","B-00070201_0E0F02FD","NON-SPECIFIC","dga","","1","129","","","2015/03/24","","2015-6:0005","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Girl child education","B-00070201","B-00070201_F10842A7","NON-SPECIFIC","dga","","1","177","","","2015/03/24","","2015-6:0006","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Kindergarten education","B-00070201","B-00070201_EA0144A5","NON-SPECIFIC","dga","","1","146","","","2015/03/24","","2015-6:0007","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Transplanting_w_Summary","","LB-2_e1ng1tywo9_1","","dga","","5","917","Interview","","2015/05/09","","","","","","","","","General Feedback","l","UWR"
"Caring for livestock in rainy season_w_summary","","LB-2_e1ng1tywo9_2","","dga","","2","1293","","","","","","","","","","","","General Feedback","l","UWR"
"Healthy eggs_w_summary","","LB-2_e1ng1tywo9_3","","dga","","3","997","Interview","","","","","","","","","","","General Feedback","l","UWR"
"Vaccination, deworming and immunization of livestock__w_summary","","LB-2_e1ng1tywo9_4","","dga","","3","1408","Interview","","","","","","","","","","","General Feedback","l","UWR"
"Caring for livestock in rainy season_w_summary","","LB-2_e1ng1tywo9_5","","dga","","3","1293","Interview","","","","","","","","","","","General Feedback","l","UWR"
"Healthy eggs_w_summary","","LB-2_e1ng1tywo9_6","","dga","","2","997","","","","","","","","","","","","General Feedback","l","UWR"
"Vaccination, deworming and immunization of livestock__w_summary","","LB-2_e1ng1tywo9_7","","dga","","2","1408","","","","","","","","","","","","General Feedback","l","UWR"
"Malaria #2","","LB-2_h5o0l2zhy5_1","","dga","","2","540","","","","","","","","","","","","General Feedback","l","UWR"
"Hand washing with soap and water","","LB-2_qnihy4annl_1","","dga","","3","387","Song","","","","","","","","","","","General Feedback","l","UWR"
"Hand washing with soap and water","","LB-2_qnihy4annl_2","","en","","1","261","","","","","","","","","","","","General Feedback","l","UWR"
"Seeds acquisition, improved varieties and germination test-no_summary","","LB-2_rxefxl4zxt_1","","dga","","3","796","Interview","","","","","","","","","","","General Agriculture","l","UWR"
"Land preparation and sowing techniques 1-no_summary","","LB-2_rxefxl4zxt_2","","dga","","3","349","Drama","","","","","","","","","","","General Agriculture","l","UWR"
"Spraying, weeding and weedicides use #1-no_summary","","LB-2_rxefxl4zxt_3","","dga","","3","1015","Interview","","","","","","","","","","","General Agriculture","l","UWR"
"Proper Fertilizer Application-no_summary","","LB-2_rxefxl4zxt_4","","dga","","3","415","Drama","","","","","","","","","","","General Agriculture","l","UWR"
"B-00030295_0006_0030_95D2C102","B-00030295","B-00030295_95D2C102","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0032_40E1035C","B-00030295","B-00030295_40E1035C","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0013_0002_7DAF1EB0","B-00030295","B-00030295_7DAF1EB0","YIBILE-JIRAPA","dga","","0","9","","","2015/06/27","","2015-08:0013","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"Main points: Malaria and LLIN","B-00030295","B-00030295_BDB548C0","YIBILE-JIRAPA","dga","","2","128","","","2015/06/27","","2015-08:0013","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0037_6B0777EC","B-00030295","B-00030295_6B0777EC","YIBILE-JIRAPA","dga","","0","7","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0038_310D34F0","B-00030295","B-00030295_310D34F0","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0039_B11E1F74","B-00030295","B-00030295_B11E1F74","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"LLIN #","B-00030295","B-00030295_69E46D17","YIBILE-JIRAPA","dga","","1","249","","","2015/06/27","","2015-08:0013","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"Immunization","","LB-2_tfnz1palq3_3","","en","","2","278","","","","","","","","","","","","General Agriculture","l","UWR"
"Immunization #2","B-00030295","B-00030295_552138FC","YIBILE-JIRAPA","dga","","1","370","","","2015/06/27","","2015-08:0014","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"Immunization","","LB-2_tfnz1palq3_4","","en","","4","91","","","","","","","","","","","0","General Agriculture","l","UWR"
"Immunization 6 months","B-00030295","B-00030295_21027EA1","Drama Group","dga","","5","222","Drama","Parents","2015/06/28","","2015-08:0016","HH Rotation 0:Day 014","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0001_C4145858","B-00030295","B-00030295_C4145858","YIBILE-JIRAPA","dga","","0","6","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0003_1B204BB0","B-00030295","B-00030295_1B204BB0","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0005_4A2B8B94","B-00030295","B-00030295_4A2B8B94","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0006_123628B3","B-00030295","B-00030295_123628B3","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0008_1341EAE8","B-00030295","B-00030295_1341EAE8","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0009_EC48CCD8","B-00030295","B-00030295_EC48CCD8","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0010_644FEE27","B-00030295","B-00030295_644FEE27","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0012_035E3E67","B-00030295","B-00030295_035E3E67","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0013_E364CFB0","B-00030295","B-00030295_E364CFB0","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0014_99693000","B-00030295","B-00030295_99693000","YIBILE-JIRAPA","dga","","0","6","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0015_BF7096B9","B-00030295","B-00030295_BF7096B9","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0016_A176D15A","B-00030295","B-00030295_A176D15A","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0017_5A8032A8","B-00030295","B-00030295_5A8032A8","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0012_0001_70014F20","B-00030295","B-00030295_70014F20","YIBILE-JIRAPA","dga","","0","3","","","2015/06/27","","2015-08:0012","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0019_4A8F09B2","B-00030295","B-00030295_4A8F09B2","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0020_D1951428","B-00030295","B-00030295_D1951428","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"Good storages #1","B-00030295","B-00030295_6B308CAF","Drama Group","dga","","3","352","Drama","","2015/06/27","","2015-08:0013","HH Rotation 0:Day 013","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0023_55A60FA0","B-00030295","B-00030295_55A60FA0","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0025_A5B0DA1B","B-00030295","B-00030295_A5B0DA1B","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0026_77B83F80","B-00030295","B-00030295_77B83F80","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0027_11BEE370","B-00030295","B-00030295_11BEE370","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0028_D6C571A0","B-00030295","B-00030295_D6C571A0","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0029_47CC7B00","B-00030295","B-00030295_47CC7B00","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
